Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1617476820000,338755.00000000,339000.00000000,338755.00000000,339000.00000000,0.05568400,1617476879999,18868.97300600,29,0.04862700,16478.33353300,0
1617476880000,339000.00000000,339850.00000000,339000.00000000,339546.00000000,0.04647100,1617476939999,15777.61007200,40,0.02661500,9039.29372300,0
1617476940000,339348.00000000,339844.00000000,339348.00000000,339546.00000000,0.00665900,1617476999999,2261.21763400,15,0.00179400,609.54301700,0
1617477000000,339366.00000000,339842.00000000,339191.00000000,339546.00000000,0.00485200,1617477059999,1646.85879100,22,0.00086500,293.88030500,0
1617477060000,339740.00000000,339740.00000000,339150.00000000,339150.00000000,0.01620300,1617477119999,5501.87754800,16,0.01552000,5270.20210000,0
1617477120000,339348.00000000,339709.00000000,339150.00000000,339524.00000000,0.01524300,1617477179999,5173.21664500,14,0.00905300,3073.86605300,0
1617477180000,339546.00000000,339739.00000000,339427.00000000,339700.00000000,0.24929600,1617477239999,84623.59255800,14,0.00632100,2146.23775300,0
1617477240000,339546.00000000,339546.00000000,339099.00000000,339545.00000000,0.01859200,1617477299999,6309.31223700,14,0.00583300,1980.56198600,0
1617477300000,339546.00000000,339546.00000000,339001.00000000,339001.00000000,0.04400000,1617477359999,14921.54478700,16,0.00963800,3272.40277400,0
1617477360000,339010.00000000,339499.00000000,339010.00000000,339499.00000000,0.01570200,1617477419999,5324.01736100,12,0.00247600,840.08043200,0
1617477420000,339029.00000000,339488.00000000,338861.00000000,339150.00000000,0.02570000,1617477479999,8714.22410200,30,0.00439700,1492.67089700,0
1617477480000,339485.00000000,339499.00000000,338866.00000000,338866.00000000,0.30690100,1617477539999,104063.34895900,18,0.00045100,153.10314300,0
1617477540000,338866.00000000,339394.00000000,338865.00000000,339393.00000000,0.00305200,1617477599999,1034.95722800,11,0.00184500,625.92814300,0
1617477600000,339150.00000000,339380.00000000,338856.00000000,339380.00000000,0.01408300,1617477659999,4774.68254200,20,0.00560600,1902.18103000,0
1617477660000,339380.00000000,339391.00000000,339198.00000000,339384.00000000,0.02900700,1617477719999,9844.06726700,20,0.02586500,8778.30106300,0
1617477720000,339384.00000000,339384.00000000,338759.00000000,339150.00000000,0.00699300,1617477779999,2370.19680400,19,0.00159100,539.68860200,0
